campaign_175  |  16 ходов  |  liftLimit = 17

Сетка: 6x5 (колонки A-F слева направо, строки 1-5 снизу вверх)

Начальные позиции:
  target     (1x2)  D1  [цель]
  box_1      (2x3)  A1
  box_2      (1x2)  D3
  box_3      (1x2)  C1
  box_4      (1x1)  B4
  box_5      (2x2)  E1
  box_6      (1x1)  D5
  box_7      (2x1)  E3

Решение:
    1. box_6      (1x1)  D5 -> A4
    2. box_7      (2x1)  E3 -> A5
    3. box_2      (1x2)  D3 -> E3
    4. target     (1x2)  D1 -> F3
    5. box_7      (2x1)  A5 -> E5
    6. box_4      (1x1)  B4 -> A5
    7. box_3      (1x2)  C1 -> B4
    8. box_7      (2x1)  E5 -> C1
    9. target     (1x2)  F3 -> D2
    10. box_2      (1x2)  E3 -> C2
    11. box_5      (2x2)  E1 -> C4
    12. box_4      (1x1)  A5 -> E1
    13. box_6      (1x1)  A4 -> E2
    14. box_3      (1x2)  B4 -> A4
    15. box_5      (2x2)  C4 -> B4
    16. target     (1x2)  D2 -> F1  <-- ПОБЕДА
